,raceId,driverId,stop,lap,time,duration,milliseconds,constructors,seconds,points
0,841,153,1,1,1,26.898,26898,Mercedes,26.898,5927.0
1,841,30,1,1,1,25.021,25021,Ferrari,25.021,8558.5
2,841,22,1,13,1,23.643,23643,Renault,23.643,1777.0
3,841,20,1,14,1,22.603,22603,Force India,22.603,1098.0
4,841,814,1,14,1,24.863,24863,Renault,24.863,1777.0
5,841,816,1,14,1,25.259,25259,Williams,25.259,3567.0
6,841,2,1,15,1,22.994,22994,McLaren,22.994,5795.5
7,841,1,1,16,1,23.227,23227,Force India,23.227,1098.0
8,841,3,1,16,1,23.716,23716,Red Bull,23.716,5329.5
9,841,155,1,16,1,24.064,24064,Mercedes,24.064,5927.0
10,841,15,1,16,1,24.899,24899,Mercedes,24.899,5927.0
11,841,153,2,17,1,24.463,24463,Mercedes,24.463,5927.0
12,841,5,1,17,1,24.865,24865,Red Bull,24.865,5329.5
13,841,30,2,17,1,23.988,23988,Ferrari,23.988,8558.5
14,841,10,1,18,1,23.792,23792,Williams,23.792,3567.0
15,841,815,1,23,1,23.438,23438,McLaren,23.438,5795.5
16,841,22,2,23,1,37.856,37856,Renault,37.856,1777.0
17,841,22,3,28,1,16.892,16892,Renault,16.892,1777.0
18,841,2,2,30,1,25.098,25098,McLaren,25.098,5795.5
19,841,155,2,32,1,24.192,24192,Mercedes,24.192,5927.0
20,841,20,2,36,1,24.036,24036,Force India,24.036,1098.0
21,841,1,2,36,1,23.199,23199,Force India,23.199,1098.0
22,841,153,3,35,1,26.348,26348,Mercedes,26.348,5927.0
23,841,814,2,36,1,24.332,24332,Renault,24.332,1777.0
24,841,15,2,37,1,24.848,24848,Mercedes,24.848,5927.0
25,841,816,2,38,1,26.446,26446,Williams,26.446,3567.0
26,841,22,4,40,1,26.309,26309,Renault,26.309,1777.0
27,842,22,1,3,1,32.978,32978,Ferrari,32.978,8558.5
28,842,20,1,13,1,23.019,23019,Mercedes,23.019,5927.0
29,842,18,1,13,1,22.400,22400,Force India,22.4,1098.0
30,842,13,1,13,1,29.224,29224,Force India,29.224,1098.0
31,842,15,1,13,1,25.516,25516,McLaren,25.516,5795.5
32,842,808,1,15,1,23.182,23182,Ferrari,23.182,8558.5
33,842,67,1,15,1,23.280,23280,Red Bull,23.28,5329.5
34,842,5,1,15,1,29.084,29084,Renault,29.084,1777.0
35,842,153,1,16,1,23.584,23584,Mercedes,23.584,5927.0
36,842,815,1,17,1,23.597,23597,Red Bull,23.597,5329.5
37,842,10,1,17,1,24.617,24617,Williams,24.617,3567.0
38,842,816,1,17,1,26.252,26252,Williams,26.252,3567.0
39,842,24,1,17,1,27.815,27815,Renault,27.815,1777.0
40,842,22,2,17,1,24.502,24502,Ferrari,24.502,8558.5
41,842,67,2,20,1,29.843,29843,Red Bull,29.843,5329.5
42,842,18,2,23,1,22.471,22471,Force India,22.471,1098.0
43,842,20,2,25,1,21.893,21893,Mercedes,21.893,5927.0
44,842,13,2,27,1,22.541,22541,Force India,22.541,1098.0
45,842,808,2,27,1,22.680,22680,Ferrari,22.68,8558.5
46,842,153,2,32,1,22.888,22888,Mercedes,22.888,5927.0
47,842,67,3,32,1,27.439,27439,Red Bull,27.439,5329.5
48,842,5,2,34,1,23.336,23336,Renault,23.336,1777.0
49,842,10,2,34,1,24.429,24429,Williams,24.429,3567.0
50,842,816,2,35,1,24.416,24416,Williams,24.416,3567.0
51,842,18,3,38,1,22.483,22483,Force India,22.483,1098.0
52,842,13,3,38,1,22.893,22893,Force India,22.893,1098.0
53,842,24,2,38,1,26.554,26554,Renault,26.554,1777.0
54,842,20,3,41,1,22.313,22313,Mercedes,22.313,5927.0
55,842,808,3,44,1,28.694,28694,Ferrari,28.694,8558.5
56,842,24,3,44,1,38.823,38823,Renault,38.823,1777.0
57,843,153,1,9,1,22.419,22419,Red Bull,22.419,5329.5
58,843,814,1,11,1,21.989,21989,Renault,21.989,1777.0
59,843,3,1,12,1,20.771,20771,Force India,20.771,1098.0
60,843,67,1,12,1,22.010,22010,McLaren,22.01,5795.5
61,843,13,1,15,1,21.624,21624,Force India,21.624,1098.0
62,843,1,1,15,1,20.878,20878,Renault,20.878,1777.0
63,843,815,1,16,1,21.473,21473,Ferrari,21.473,8558.5
64,843,22,1,16,1,21.709,21709,McLaren,21.709,5795.5
65,843,67,2,16,1,24.722,24722,McLaren,24.722,5795.5
66,843,10,1,16,1,22.683,22683,Williams,22.683,3567.0
67,843,2,1,18,1,22.216,22216,Ferrari,22.216,8558.5
68,843,5,1,19,1,22.485,22485,Red Bull,22.485,5329.5
69,843,15,1,20,1,23.029,23029,Renault,23.029,1777.0
70,843,816,1,20,1,22.901,22901,Williams,22.901,3567.0
71,843,3,2,25,1,22.005,22005,Force India,22.005,1098.0
72,843,1,2,25,1,20.533,20533,Renault,20.533,1777.0
73,843,10,2,28,1,21.908,21908,Williams,21.908,3567.0
74,843,2,2,30,1,21.821,21821,Ferrari,21.821,8558.5
75,843,814,2,32,1,21.218,21218,Renault,21.218,1777.0
76,843,13,2,33,1,21.168,21168,Force India,21.168,1098.0
77,843,67,3,33,1,21.928,21928,McLaren,21.928,5795.5
78,843,816,2,34,1,22.802,22802,Williams,22.802,3567.0
79,843,22,2,35,1,21.481,21481,McLaren,21.481,5795.5
80,843,815,2,36,1,23.397,23397,Ferrari,23.397,8558.5
81,843,1,3,38,1,20.567,20567,Renault,20.567,1777.0
82,843,3,3,39,1,20.720,20720,Force India,20.72,1098.0
83,843,10,3,39,1,33.827,33827,Williams,33.827,3567.0
84,843,5,2,40,1,21.890,21890,Red Bull,21.89,5329.5
85,843,15,2,42,1,22.260,22260,Renault,22.26,1777.0
86,843,815,3,48,1,13.900,13900,Ferrari,13.9,8558.5
87,843,815,4,50,1,28.845,28845,Ferrari,28.845,8558.5
88,844,815,1,1,1,29.270,29270,Mercedes,29.27,5927.0
89,844,30,1,2,1,30.182,30182,Mercedes,30.182,5927.0
90,844,13,1,9,1,22.022,22022,McLaren,22.022,5795.5
91,844,3,1,10,1,22.573,22573,Force India,22.573,1098.0
92,844,22,1,10,1,22.717,22717,Ferrari,22.717,8558.5
93,844,16,1,10,1,21.649,21649,Williams,21.649,3567.0
94,844,813,1,11,1,23.881,23881,Ferrari,23.881,8558.5
95,844,18,1,13,1,21.368,21368,Force India,21.368,1098.0
96,844,153,1,13,1,22.713,22713,McLaren,22.713,5795.5
97,844,15,1,13,1,23.066,23066,Red Bull,23.066,5329.5
98,844,30,2,14,1,20.907,20907,Mercedes,20.907,5927.0
99,844,5,1,15,1,22.854,22854,Red Bull,22.854,5329.5
100,844,24,1,15,1,24.634,24634,Ferrari,24.634,8558.5
101,844,815,2,16,1,22.895,22895,Mercedes,22.895,5927.0
102,844,816,1,16,1,22.779,22779,Williams,22.779,3567.0
103,844,3,2,22,1,20.927,20927,Force India,20.927,1098.0
104,844,13,2,23,1,21.322,21322,McLaren,21.322,5795.5
105,844,22,2,24,1,22.868,22868,Ferrari,22.868,8558.5
106,844,16,2,25,1,21.084,21084,Williams,21.084,3567.0
107,844,813,2,25,1,22.555,22555,Ferrari,22.555,8558.5
108,844,15,2,25,1,22.862,22862,Red Bull,22.862,5329.5
109,844,18,2,26,1,22.639,22639,Force India,22.639,1098.0
110,844,153,2,29,1,21.826,21826,McLaren,21.826,5795.5
111,844,30,3,30,1,20.379,20379,Mercedes,20.379,5927.0
112,844,5,2,31,1,21.633,21633,Red Bull,21.633,5329.5
113,844,815,3,32,1,22.365,22365,Mercedes,22.365,5927.0
114,844,3,3,33,1,20.949,20949,Force India,20.949,1098.0
115,844,816,2,33,1,24.837,24837,Williams,24.837,3567.0
116,844,13,3,34,1,23.471,23471,McLaren,23.471,5795.5
117,844,24,3,35,1,25.125,25125,Ferrari,25.125,8558.5
118,844,18,3,39,1,21.417,21417,Force India,21.417,1098.0
119,844,153,3,39,1,21.986,21986,McLaren,21.986,5795.5
120,844,15,3,39,1,22.219,22219,Red Bull,22.219,5329.5
121,844,22,3,40,1,21.687,21687,Ferrari,21.687,8558.5
122,844,16,3,40,1,21.006,21006,Williams,21.006,3567.0
123,844,813,3,41,1,21.827,21827,Ferrari,21.827,8558.5
124,844,815,4,42,1,21.715,21715,Mercedes,21.715,5927.0
125,844,3,4,44,1,20.308,20308,Force India,20.308,1098.0
126,844,30,4,45,1,20.597,20597,Mercedes,20.597,5927.0
127,844,813,4,45,1,13.925,13925,Ferrari,13.925,8558.5
128,844,13,4,46,1,26.685,26685,McLaren,26.685,5795.5
129,844,5,3,53,1,23.114,23114,Red Bull,23.114,5329.5
130,844,153,4,55,1,21.931,21931,McLaren,21.931,5795.5
131,845,813,1,8,1,22.689,22689,Renault,22.689,1777.0
132,845,67,1,9,1,20.818,20818,Red Bull,20.818,5329.5
133,845,4,1,10,1,20.567,20567,Force India,20.567,1098.0
134,845,30,1,10,1,20.084,20084,Force India,20.084,1098.0
135,845,808,1,11,1,21.856,21856,McLaren,21.856,5795.5
136,845,13,1,11,1,20.800,20800,Mercedes,20.8,5927.0
137,845,153,1,11,1,20.741,20741,Red Bull,20.741,5329.5
138,845,22,1,11,1,29.936,29936,Renault,29.936,1777.0
139,845,16,1,13,1,20.773,20773,Renault,20.773,1777.0
140,845,814,1,15,1,20.070,20070,Ferrari,20.07,8558.5
141,845,15,1,15,1,22.364,22364,Ferrari,22.364,8558.5
142,845,5,1,16,1,21.019,21019,McLaren,21.019,5795.5
143,845,10,1,16,1,22.744,22744,Williams,22.744,3567.0
144,845,816,1,17,1,23.176,23176,Williams,23.176,3567.0
145,845,4,2,19,1,20.238,20238,Force India,20.238,1098.0
146,845,813,2,20,1,24.821,24821,Renault,24.821,1777.0
147,845,13,2,21,1,21.635,21635,Mercedes,21.635,5927.0
148,845,22,2,23,1,21.226,21226,Renault,21.226,1777.0
149,845,153,2,24,1,20.872,20872,Red Bull,20.872,5329.5
150,845,67,2,25,1,24.745,24745,Red Bull,24.745,5329.5
151,845,30,2,26,1,20.487,20487,Force India,20.487,1098.0
152,845,808,2,26,1,24.232,24232,McLaren,24.232,5795.5
153,845,4,3,29,1,20.738,20738,Force India,20.738,1098.0
154,845,5,2,28,1,20.807,20807,McLaren,20.807,5795.5
155,845,15,2,29,1,21.723,21723,Ferrari,21.723,8558.5
156,845,16,2,30,1,20.267,20267,Renault,20.267,1777.0
157,845,814,2,32,1,20.126,20126,Ferrari,20.126,8558.5
158,845,816,2,34,1,22.982,22982,Williams,22.982,3567.0
159,845,22,3,35,1,20.650,20650,Renault,20.65,1777.0
160,845,13,3,36,1,22.419,22419,Mercedes,22.419,5927.0
161,845,813,3,36,1,21.574,21574,Renault,21.574,1777.0
162,845,153,3,36,1,21.019,21019,Red Bull,21.019,5329.5
163,845,4,4,39,1,20.380,20380,Force India,20.38,1098.0
164,845,10,2,38,1,21.632,21632,Williams,21.632,3567.0
165,845,30,3,41,1,20.451,20451,Force India,20.451,1098.0
166,845,808,3,41,1,21.739,21739,McLaren,21.739,5795.5
167,845,5,3,41,1,23.068,23068,McLaren,23.068,5795.5
168,845,67,3,42,1,20.819,20819,Red Bull,20.819,5329.5
169,845,15,3,43,1,23.001,23001,Ferrari,23.001,8558.5
170,845,16,3,48,1,23.230,23230,Renault,23.23,1777.0
171,845,153,4,50,1,23.143,23143,Red Bull,23.143,5329.5
172,845,816,3,49,1,21.708,21708,Williams,21.708,3567.0
173,845,814,3,51,1,20.573,20573,Ferrari,20.573,8558.5
174,845,813,4,53,1,22.077,22077,Renault,22.077,1777.0
175,845,10,3,53,1,21.170,21170,Williams,21.17,3567.0
176,845,22,4,54,1,20.637,20637,Renault,20.637,1777.0
177,846,30,1,12,1,35.084,35084,Mercedes,35.084,5927.0
178,846,3,1,15,1,25.189,25189,Renault,25.189,1777.0
179,846,20,1,16,1,28.536,28536,Williams,28.536,3567.0
180,846,5,1,19,1,26.477,26477,McLaren,26.477,5795.5
181,846,10,1,22,1,26.827,26827,Mercedes,26.827,5927.0
182,846,15,1,24,1,25.595,25595,Red Bull,25.595,5329.5
183,846,813,1,25,1,26.468,26468,Mercedes,26.468,5927.0
184,846,13,1,26,1,26.615,26615,McLaren,26.615,5795.5
185,846,39,1,25,1,28.325,28325,Ferrari,28.325,8558.5
186,846,808,1,28,1,28.856,28856,Red Bull,28.856,5329.5
187,846,153,1,29,1,25.907,25907,Mercedes,25.907,5927.0
188,846,3,2,33,1,25.310,25310,Renault,25.31,1777.0
189,846,24,1,32,1,28.298,28298,Renault,28.298,1777.0
190,846,816,1,33,1,27.577,27577,Williams,27.577,3567.0
191,846,155,1,34,1,28.642,28642,Force India,28.642,1098.0
192,846,39,2,33,1,39.917,39917,Ferrari,39.917,8558.5
193,846,15,2,46,1,26.065,26065,Red Bull,26.065,5329.5
194,846,5,2,52,1,25.878,25878,McLaren,25.878,5795.5
195,846,3,3,53,1,25.116,25116,Renault,25.116,1777.0
196,846,813,2,54,1,25.687,25687,Mercedes,25.687,5927.0
197,846,153,2,56,1,27.550,27550,Mercedes,27.55,5927.0
198,846,816,2,63,1,26.464,26464,Williams,26.464,3567.0
199,847,18,1,8,1,23.650,23650,Williams,23.65,3567.0
200,847,24,1,9,1,27.202,27202,Renault,27.202,1777.0
201,847,18,2,13,1,14.501,14501,Williams,14.501,3567.0
202,847,16,1,16,1,24.052,24052,Williams,24.052,3567.0
203,847,4,1,17,1,23.893,23893,McLaren,23.893,5795.5
204,847,3,1,17,1,23.105,23105,Force India,23.105,1098.0
205,847,813,1,17,1,23.571,23571,McLaren,23.571,5795.5
206,847,816,1,17,1,24.143,24143,Mercedes,24.143,5927.0
207,847,4,2,19,1,26.348,26348,McLaren,26.348,5795.5
208,847,18,3,19,1,23.868,23868,Williams,23.868,3567.0
209,847,3,2,19,1,22.986,22986,Force India,22.986,1098.0
210,847,813,2,19,1,24.943,24943,McLaren,24.943,5795.5
211,847,13,1,21,1,24.886,24886,Force India,24.886,1098.0
212,847,816,2,23,1,30.497,30497,Mercedes,30.497,5927.0
213,847,816,3,33,1,24.655,24655,Mercedes,24.655,5927.0
214,847,16,2,34,1,22.923,22923,Williams,22.923,3567.0
215,847,10,1,34,1,24.425,24425,McLaren,24.425,5795.5
216,847,2,1,35,1,23.113,23113,Red Bull,23.113,5329.5
217,847,18,4,35,1,23.589,23589,Williams,23.589,3567.0
218,847,813,3,35,1,23.593,23593,McLaren,23.593,5795.5
219,847,24,2,35,1,34.897,34897,Renault,34.897,1777.0
220,847,13,2,36,1,22.742,22742,Force India,22.742,1098.0
221,847,808,1,36,1,23.816,23816,Force India,23.816,1098.0
222,847,4,3,36,1,26.129,26129,McLaren,26.129,5795.5
223,847,3,3,36,1,22.735,22735,Force India,22.735,1098.0
224,847,15,2,36,1,23.332,23332,Red Bull,23.332,5329.5
225,847,816,4,36,1,14.538,14538,Mercedes,14.538,5927.0
226,847,39,1,37,1,29.115,29115,Ferrari,29.115,8558.5
227,847,18,5,37,1,31.718,31718,Williams,31.718,3567.0
