,constructorStandingsId,raceId,constructorId,points,position,positionText,wins,GP_name,name,nationality,date,years
0,1,18,1,14.0,1,1,1,Australian Grand Prix,McLaren,British,2008-03-16,2008
1,2,18,2,8.0,3,3,0,Australian Grand Prix,BMW Sauber,German,2008-03-16,2008
2,3,18,3,9.0,2,2,0,Australian Grand Prix,Williams,British,2008-03-16,2008
3,4,18,4,5.0,4,4,0,Australian Grand Prix,Renault,French,2008-03-16,2008
4,5,18,5,2.0,5,5,0,Australian Grand Prix,Toro Rosso,Italian,2008-03-16,2008
5,6,18,6,1.0,6,6,0,Australian Grand Prix,Ferrari,Italian,2008-03-16,2008
6,7,19,1,24.0,1,1,1,Malaysian Grand Prix,McLaren,British,2008-03-23,2008
7,8,19,2,19.0,2,2,0,Malaysian Grand Prix,BMW Sauber,German,2008-03-23,2008
8,9,19,3,9.0,4,4,0,Malaysian Grand Prix,Williams,British,2008-03-23,2008
9,10,19,4,6.0,5,5,0,Malaysian Grand Prix,Renault,French,2008-03-23,2008
10,11,19,5,2.0,8,8,0,Malaysian Grand Prix,Toro Rosso,Italian,2008-03-23,2008
11,12,19,6,11.0,3,3,1,Malaysian Grand Prix,Ferrari,Italian,2008-03-23,2008
12,13,19,7,5.0,6,6,0,Malaysian Grand Prix,Toyota,Japanese,2008-03-23,2008
13,14,19,9,2.0,7,7,0,Malaysian Grand Prix,Red Bull,Austrian,2008-03-23,2008
14,15,19,11,0.0,9,9,0,Malaysian Grand Prix,Honda,Japanese,2008-03-23,2008
15,16,19,10,0.0,10,10,0,Malaysian Grand Prix,Force India,Indian,2008-03-23,2008
16,17,19,8,0.0,11,11,0,Malaysian Grand Prix,Super Aguri,Japanese,2008-03-23,2008
17,18,20,1,28.0,3,3,1,Bahrain Grand Prix,McLaren,British,2008-04-06,2008
18,19,20,2,30.0,1,1,0,Bahrain Grand Prix,BMW Sauber,German,2008-04-06,2008
19,20,20,3,10.0,4,4,0,Bahrain Grand Prix,Williams,British,2008-04-06,2008
20,21,20,4,6.0,6,6,0,Bahrain Grand Prix,Renault,French,2008-04-06,2008
21,22,20,5,2.0,8,8,0,Bahrain Grand Prix,Toro Rosso,Italian,2008-04-06,2008
22,23,20,6,29.0,2,2,2,Bahrain Grand Prix,Ferrari,Italian,2008-04-06,2008
23,24,20,7,8.0,5,5,0,Bahrain Grand Prix,Toyota,Japanese,2008-04-06,2008
24,25,20,9,4.0,7,7,0,Bahrain Grand Prix,Red Bull,Austrian,2008-04-06,2008
25,26,20,11,0.0,9,9,0,Bahrain Grand Prix,Honda,Japanese,2008-04-06,2008
26,27,20,10,0.0,10,10,0,Bahrain Grand Prix,Force India,Indian,2008-04-06,2008
27,28,20,8,0.0,11,11,0,Bahrain Grand Prix,Super Aguri,Japanese,2008-04-06,2008
28,29,21,1,34.0,3,3,1,Spanish Grand Prix,McLaren,British,2008-04-27,2008
29,30,21,2,35.0,2,2,0,Spanish Grand Prix,BMW Sauber,German,2008-04-27,2008
30,31,21,3,12.0,4,4,0,Spanish Grand Prix,Williams,British,2008-04-27,2008
31,32,21,4,6.0,7,7,0,Spanish Grand Prix,Renault,French,2008-04-27,2008
32,33,21,5,2.0,9,9,0,Spanish Grand Prix,Toro Rosso,Italian,2008-04-27,2008
33,34,21,6,47.0,1,1,3,Spanish Grand Prix,Ferrari,Italian,2008-04-27,2008
34,35,21,7,9.0,5,5,0,Spanish Grand Prix,Toyota,Japanese,2008-04-27,2008
35,36,21,9,8.0,6,6,0,Spanish Grand Prix,Red Bull,Austrian,2008-04-27,2008
36,37,21,11,3.0,8,8,0,Spanish Grand Prix,Honda,Japanese,2008-04-27,2008
37,38,21,10,0.0,10,10,0,Spanish Grand Prix,Force India,Indian,2008-04-27,2008
38,39,21,8,0.0,11,11,0,Spanish Grand Prix,Super Aguri,Japanese,2008-04-27,2008
39,40,22,1,42.0,3,3,1,Turkish Grand Prix,McLaren,British,2008-05-11,2008
40,41,22,2,44.0,2,2,0,Turkish Grand Prix,BMW Sauber,German,2008-05-11,2008
41,42,22,3,13.0,4,4,0,Turkish Grand Prix,Williams,British,2008-05-11,2008
42,43,22,4,9.0,7,7,0,Turkish Grand Prix,Renault,French,2008-05-11,2008
43,44,22,5,2.0,9,9,0,Turkish Grand Prix,Toro Rosso,Italian,2008-05-11,2008
44,45,22,6,63.0,1,1,4,Turkish Grand Prix,Ferrari,Italian,2008-05-11,2008
45,46,22,7,9.0,6,6,0,Turkish Grand Prix,Toyota,Japanese,2008-05-11,2008
46,47,22,9,10.0,5,5,0,Turkish Grand Prix,Red Bull,Austrian,2008-05-11,2008
47,48,22,11,3.0,8,8,0,Turkish Grand Prix,Honda,Japanese,2008-05-11,2008
48,49,22,10,0.0,10,10,0,Turkish Grand Prix,Force India,Indian,2008-05-11,2008
49,50,22,8,0.0,11,11,0,Turkish Grand Prix,Super Aguri,Japanese,2008-05-11,2008
50,51,23,1,53.0,2,2,2,Monaco Grand Prix,McLaren,British,2008-05-25,2008
51,52,23,2,52.0,3,3,0,Monaco Grand Prix,BMW Sauber,German,2008-05-25,2008
52,53,23,3,15.0,4,4,0,Monaco Grand Prix,Williams,British,2008-05-25,2008
53,54,23,4,9.0,7,7,0,Monaco Grand Prix,Renault,French,2008-05-25,2008
54,55,23,5,6.0,8,8,0,Monaco Grand Prix,Toro Rosso,Italian,2008-05-25,2008
55,56,23,6,69.0,1,1,4,Monaco Grand Prix,Ferrari,Italian,2008-05-25,2008
56,57,23,7,9.0,6,6,0,Monaco Grand Prix,Toyota,Japanese,2008-05-25,2008
57,58,23,9,15.0,5,5,0,Monaco Grand Prix,Red Bull,Austrian,2008-05-25,2008
58,59,23,11,6.0,9,9,0,Monaco Grand Prix,Honda,Japanese,2008-05-25,2008
59,60,23,10,0.0,10,10,0,Monaco Grand Prix,Force India,Indian,2008-05-25,2008
60,61,23,8,0.0,11,11,0,Monaco Grand Prix,Super Aguri,Japanese,2008-05-25,2008
61,62,24,1,53.0,3,3,2,Canadian Grand Prix,McLaren,British,2008-06-08,2008
62,63,24,2,70.0,2,2,1,Canadian Grand Prix,BMW Sauber,German,2008-06-08,2008
63,64,24,3,15.0,6,6,0,Canadian Grand Prix,Williams,British,2008-06-08,2008
64,65,24,4,9.0,7,7,0,Canadian Grand Prix,Renault,French,2008-06-08,2008
65,66,24,5,7.0,9,9,0,Canadian Grand Prix,Toro Rosso,Italian,2008-06-08,2008
66,67,24,6,73.0,1,1,4,Canadian Grand Prix,Ferrari,Italian,2008-06-08,2008
67,68,24,7,17.0,5,5,0,Canadian Grand Prix,Toyota,Japanese,2008-06-08,2008
68,69,24,9,21.0,4,4,0,Canadian Grand Prix,Red Bull,Austrian,2008-06-08,2008
69,70,24,11,8.0,8,8,0,Canadian Grand Prix,Honda,Japanese,2008-06-08,2008
