,raceId,year,GP_name,circuitId,url,name,country,latitude,longitude,continents,driverId,laps,time,fastestLapTime,fastestLapSpeed,full_name,GP_fastes_lap,fastest_full_name,nombre_GP
0,833,1950,British Grand Prix,9,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,Silverstone Circuit,UK,52.0786,-1.01694,Europe,642,70,2:13:23.6,no_info,0.0,Nino Farina,1:18.739,Michael Schumacher,1
102,837,1950,Belgian Grand Prix,13,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139,Europe,780,29,no_info,no_info,0.0,Toni Branca,1:45.108,Kimi Räikkönen,1
107,836,1950,Swiss Grand Prix,66,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,Circuit Bremgarten,Switzerland,46.9589,7.40194,Europe,642,42,2:02:53.7,no_info,0.0,Nino Farina,no_info,no_info,1
82,838,1950,French Grand Prix,55,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,Reims-Gueux,France,49.2542,3.93083,Europe,697,14,no_info,no_info,0.0,Felice Bonetto,1:15.377,Michael Schumacher,1
144,835,1950,Indianapolis 500,19,http://en.wikipedia.org/wiki/1950_Indianapolis_500,Indianapolis Motor Speedway,USA,39.795,-86.2347,North_America,677,126,no_info,no_info,0.0,Travis Webb,no_info,no_info,1
23,839,1950,Italian Grand Prix,14,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,Autodromo Nazionale di Monza,Italy,45.6156,9.28111,Europe,642,80,2:51:17.4,no_info,0.0,Nino Farina,1:21.046,Rubens Barrichello,1
61,834,1950,Monaco Grand Prix,6,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,Circuit de Monaco,Monaco,43.7347,7.42056,Europe,498,1,no_info,no_info,0.0,José Froilán González,1:12.909,Lewis Hamilton,1
275,828,1951,French Grand Prix,55,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,Reims-Gueux,France,49.2542,3.93083,Europe,589,71,no_info,no_info,0.0,Louis Chiron,1:15.377,Michael Schumacher,2
254,825,1951,Swiss Grand Prix,66,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,Circuit Bremgarten,Switzerland,46.9589,7.40194,Europe,647,40,no_info,no_info,0.0,Alberto Ascari,no_info,no_info,2
334,832,1951,Spanish Grand Prix,67,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,Circuit de Pedralbes,Spain,41.3903,2.11667,Europe,783,23,no_info,no_info,0.0,Georges Grignard,1:15.641,Giancarlo Fisichella,1
296,831,1951,Italian Grand Prix,14,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,Autodromo Nazionale di Monza,Italy,45.6156,9.28111,Europe,647,80,2:42:39.3,no_info,0.0,Alberto Ascari,1:21.046,Rubens Barrichello,2
222,826,1951,Indianapolis 500,19,http://en.wikipedia.org/wiki/1951_Indianapolis_500,Indianapolis Motor Speedway,USA,39.795,-86.2347,North_America,518,180,no_info,no_info,0.0,Duane Carter,no_info,no_info,2
183,827,1951,Belgian Grand Prix,13,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139,Europe,627,34,no_info,no_info,0.0,Louis Rosier,1:45.108,Kimi Räikkönen,2
193,830,1951,German Grand Prix,20,http://en.wikipedia.org/wiki/1951_German_Grand_Prix,Nürburgring,Germany,50.3356,6.9475,Europe,647,20,3:23:03.3,no_info,0.0,Alberto Ascari,1:13.780,Kimi Räikkönen,1
179,829,1951,British Grand Prix,9,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,Silverstone Circuit,UK,52.0786,-1.01694,Europe,779,23,no_info,no_info,0.0,John James,1:18.739,Michael Schumacher,2
478,820,1952,French Grand Prix,53,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,Rouen-Les-Essarts,France,49.3306,1.00458,Europe,704,68,no_info,no_info,0.0,Yves Cabantous,1:15.377,Michael Schumacher,3
494,818,1952,Indianapolis 500,19,http://en.wikipedia.org/wiki/1952_Indianapolis_500,Indianapolis Motor Speedway,USA,39.795,-86.2347,North_America,518,200,+6:48.34,no_info,0.0,Duane Carter,no_info,no_info,3
453,817,1952,Swiss Grand Prix,66,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,Circuit Bremgarten,Switzerland,46.9589,7.40194,Europe,721,56,no_info,no_info,0.0,Peter Hirt,no_info,no_info,3
